Name	Count	Percentage
English;Persian	     3	 0.00
English;Russian;Finnish	     3	 0.00
English;Russian;German	     3	 0.00
English;Slovenian	     3	 0.00
English;Somali	     3	 0.00
English;Swedish;Norwegian	     3	 0.00
English;Thai	     3	 0.00
Esperanto;Swedish	     3	 0.00
Estonian;Finnish;English;Russian;Multiple languages	     3	 0.00
Estonian;Russian;Finnish	     3	 0.00
Finnish;Burmese	     3	 0.00
Finnish;Church Slavic	     3	 0.00
Finnish;Danish;Icelandic;English	     3	 0.00
Finnish;Danish;Norwegian	     3	 0.00
Finnish;Danish;Norwegian;Swedish	     3	 0.00
Finnish;English;French;German;Italian;Portuguese;Spanish	     3	 0.00
Finnish;English;French;Spanish	     3	 0.00
Finnish;English;German;French;Italian	     3	 0.00
Finnish;English;German;French;Spanish;Italian	     3	 0.00
Finnish;English;Northern Sami	     3	 0.00
Finnish;English;Persian	     3	 0.00
Finnish;English;Polish	     3	 0.00
Finnish;English;Portuguese	     3	 0.00
Finnish;English;Sami	     3	 0.00
Finnish;English;Swedish;Russian	     3	 0.00
Finnish;English;Ukrainian	     3	 0.00
Finnish;Estonian;German;Russian	     3	 0.00
Finnish;Filipino	     3	 0.00
Finnish;French;Undetermined	     3	 0.00
Finnish;Italian;English	     3	 0.00
Finnish;Lithuanian	     3	 0.00
Finnish;Russian;Estonian	     3	 0.00
Finnish;Sami;Northern Sami	     3	 0.00
Finnish;Sami;Northern Sami;English	     3	 0.00
Finnish;Sign languages	     3	 0.00
Finnish;Skolt Sami	     3	 0.00
Finnish;Swedish;Danish;Icelandic;Norwegian	     3	 0.00
Finnish;Swedish;English;Estonian	     3	 0.00
Finnish;Swedish;English;German;French;Russian;Estonian	     3	 0.00
Finnish;Swedish;English;German;Russian;Estonian	     3	 0.00
Finnish;Swedish;German;Latin	     3	 0.00
Finnish;Swedish;Greek, Modern (1453-)	     3	 0.00
Finnish;Swedish;Russian;English	     3	 0.00
Finnish;Swedish;Somali	     3	 0.00
Finnish;Tamil	     3	 0.00
Finnish;Tatar	     3	 0.00
French;English;Russian	     3	 0.00
French;Italian	     3	 0.00
French;Italian;Spanish	     3	 0.00
French;Spanish;Italian	     3	 0.00
German;Finnish;Swedish;English;French;Danish;Norwegian	     3	 0.00
German;Hungarian	     3	 0.00
Greek, Ancient (to 1453);Latin;Swedish	     3	 0.00
Indo-European (Other)	     3	 0.00
Italian;Finnish;Swedish	     3	 0.00
Italian;French	     3	 0.00
Kyrgyz	     3	 0.00
Latin;Arabic;Swedish	     3	 0.00
Latin;English;Swedish	     3	 0.00
Latin;German;French	     3	 0.00
Latin;Greek, Ancient (to 1453);Finnish	     3	 0.00
Latin;Multiple languages	     3	 0.00
Latin;Swedish;Hebrew	     3	 0.00
Lithuanian;English	     3	 0.00
Northern Sami;Sami;Finnish	     3	 0.00
Norwegian;German	     3	 0.00
Papuan (Other)	     3	 0.00
Portuguese;English	     3	 0.00
Romanian;Finnish	     3	 0.00
Russian;Finnish;English	     3	 0.00
Sami;German	     3	 0.00
Sami;Northern Sami;English	     3	 0.00
Sami;Northern Sami;Finnish;English	     3	 0.00
Sami;Skolt Sami;Finnish	     3	 0.00
Spanish;Latin	     3	 0.00
Swahili;English	     3	 0.00
Swahili;Finnish	     3	 0.00
Swedish;Danish;Norwegian;Icelandic	     3	 0.00
Swedish;English;French;German	     3	 0.00
Swedish;English;French;German;Danish;Norwegian;Finnish	     3	 0.00
Swedish;English;German;Finnish	     3	 0.00
Swedish;Esperanto	     3	 0.00
Swedish;Finnish;French	     3	 0.00
Swedish;German;English;Latin;Finnish	     3	 0.00
Swedish;Latin;German	     3	 0.00
Swedish;Persian	     3	 0.00
Swedish;Russian;Finnish	     3	 0.00
Swedish;Sami	     3	 0.00
Swedish;Vietnamese	     3	 0.00
Swiss German	     3	 0.00
Thai	     3	 0.00
Votic	     3	 0.00
Yiddish	     3	 0.00
Akan;Finnish;English	     2	 0.00
Albanian;Finnish	     2	 0.00
Arabic;Somali	     2	 0.00
Chechen	     2	 0.00
Danish;English;German	     2	 0.00
Danish;Finnish;Icelandic;Norwegian;Swedish	     2	 0.00
Danish;Latin	     2	 0.00
Danish;Norwegian;Swedish;Finnish	     2	 0.00
Dutch;French	     2	 0.00
Dutch;Latin	     2	 0.00
Dutch;Swedish	     2	 0.00
Dutch;Swedish;English;French	     2	 0.00
English;Danish;Norwegian;Swedish	     2	 0.00
English;Dutch	     2	 0.00
English;Finnish;French	     2	 0.00
English;Finnish;Portuguese	     2	 0.00
English;Finnish;Swedish;German;French	     2	 0.00
English;Finnish;Ukrainian	     2	 0.00
English;French;German;Swedish	     2	 0.00
English;German;Latin	     2	 0.00
English;German;Swedish	     2	 0.00
English;Hungarian	     2	 0.00
English;Lithuanian	     2	 0.00
English;Multiple languages	     2	 0.00
English;Multiple languages;Swedish;Finnish	     2	 0.00
English;Papuan (Other)	     2	 0.00
English;Russian;Chinese	     2	 0.00
English;Swedish;Danish;Norwegian	     2	 0.00
English;Swedish;German;Danish	     2	 0.00
English;Turkish	     2	 0.00
Estonian;Finnish;English;Russian	     2	 0.00
Estonian;Finnish;Hungarian	     2	 0.00
Filipino;Finnish	     2	 0.00
Finnish;Afroasiatic (Other)	     2	 0.00
Finnish;Catalan	     2	 0.00
Finnish;Egyptian	     2	 0.00
Finnish;English;Czech	     2	 0.00
Finnish;English;Danish	     2	 0.00
Finnish;English;Estonian;Russian	     2	 0.00
Finnish;English;French;Swedish;German;Spanish;Estonian;Russian	     2	 0.00
