melinda_id	original	publication_year	Count
(FI-MELINDA)000807123	19uu-9999	NA	1
(FI-MELINDA)000884073	uuuu	NA	1
(FI-MELINDA)000883656	175u	NA	1
(FI-MELINDA)000879978	1906-1900	NA	1
(FI-MELINDA)000879031	1997-1996	NA	1
(FI-MELINDA)003244788	198u-9999	NA	1
(FI-MELINDA)000839821	uuuu	NA	1
(FI-MELINDA)000834400	1926-1925	NA	1
(FI-MELINDA)000833583	1924-1900	NA	1
(FI-MELINDA)018264501	197u-199u	NA	1
(FI-MELINDA)018261929	2099	NA	1
(FI-MELINDA)018259606	2099	NA	1
(FI-MELINDA)018259604	2099	NA	1
(FI-MELINDA)000761190	198u	NA	1
(FI-MELINDA)000776829	uuuu	NA	1
(FI-MELINDA)000772266	uuuu	NA	1
(FI-MELINDA)004413862	uuuu	NA	1
(FI-MELINDA)004086542	196?-9999	NA	1
(FI-MELINDA)000982198	2008-2000	NA	1
(FI-MELINDA)000979800	2008-2000	NA	1
(FI-MELINDA)000973392	2006-2000	NA	1
(FI-MELINDA)018677600	2099	NA	1
(FI-MELINDA)018641746	2099	NA	1
(FI-MELINDA)018641694	2099	NA	1
(FI-MELINDA)005773065	2008-2000	NA	1
(FI-MELINDA)005772850	2001-2000	NA	1
(FI-MELINDA)005763672	199u-9999	NA	1
(FI-MELINDA)005752652	200u-9999	NA	1
(FI-MELINDA)017536034	2099	NA	1
(FI-MELINDA)006458703	1994-1990	NA	1
(FI-MELINDA)018220551	2099	NA	1
(FI-MELINDA)018200186	20uu-9999	NA	1
(FI-MELINDA)018199429	2099	NA	1
(FI-MELINDA)018175234	2099	NA	1
(FI-MELINDA)018175217	2099	NA	1
(FI-MELINDA)018175097	2099	NA	1
(FI-MELINDA)018175093	2099	NA	1
(FI-MELINDA)018174966	2099	NA	1
(FI-MELINDA)018174129	2099	NA	1
(FI-MELINDA)018174064	2099	NA	1
(FI-MELINDA)017442874	196?-9999	NA	1
(FI-MELINDA)017439832	2099	NA	1
(FI-MELINDA)017439827	2099	NA	1
(FI-MELINDA)017439811	2099	NA	1
(FI-MELINDA)017431085	2099	NA	1
(FI-MELINDA)017429775	2099	NA	1
(FI-MELINDA)017427356	2099	NA	1
(FI-MELINDA)017427306	2099	NA	1
(FI-MELINDA)017426659	2099	NA	1
(FI-MELINDA)017426655	2099	NA	1
(FI-MELINDA)017426637	2099	NA	1
(FI-MELINDA)017425863	2099	NA	1
(FI-MELINDA)017425860	2099	NA	1
(FI-MELINDA)017425857	2099	NA	1
(FI-MELINDA)017425855	2099	NA	1
(FI-MELINDA)017425853	2099	NA	1
(FI-MELINDA)017402791	2099	NA	1
(FI-MELINDA)017396221	20uu-9999	NA	1
(FI-MELINDA)017384835	20uu-9999	NA	1
(FI-MELINDA)017381130	20uu-9999	NA	1
(FI-MELINDA)017361958	2099	NA	1
(FI-MELINDA)017242553	20uu-9999	NA	1
(FI-MELINDA)017242552	20uu-9999	NA	1
(FI-MELINDA)017242550	20uu-9999	NA	1
(FI-MELINDA)017242518	20uu-9999	NA	1
(FI-MELINDA)000935833	uuuu	NA	1
(FI-MELINDA)000931574	uuuu	NA	1
(FI-MELINDA)016606102	||||	NA	1
(FI-MELINDA)016606101	||||	NA	1
(FI-MELINDA)016606097	||||	NA	1
(FI-MELINDA)016606071	||||	NA	1
(FI-MELINDA)016606069	||||	NA	1
(FI-MELINDA)016606056	||||	NA	1
(FI-MELINDA)000705280	uuuu	NA	1
(FI-MELINDA)016788023	2099	NA	1
(FI-MELINDA)016787482	2119	NA	1
(FI-MELINDA)016782971	2013-1897	NA	1
(FI-MELINDA)000529018	2007-2000	NA	1
(FI-MELINDA)000527813	2007-2000	NA	1
(FI-MELINDA)000905586	uuuu	NA	1
(FI-MELINDA)000897350	uuuu	NA	1
