original	language_count	multilingual	languages	language_primary	Count	Percentage
Swedish;German;French;Russian;Latin;English	 6	TRUE	Swedish;German;French;Russian;Latin;English	Swedish	    2	0
Latin;Arabic;Swedish	 3	TRUE	Latin;Arabic;Swedish	Latin	    2	0
French;Finnish	 2	TRUE	French;Finnish	French	    2	0
German;Latin;Estonian	 3	TRUE	German;Latin;Estonian	German	    2	0
German;English;French	 3	TRUE	German;English;French	German	    2	0
Finnish;French;Undetermined	 3	TRUE	Finnish;French;Undetermined	Finnish	    2	0
French;German	 2	TRUE	French;German	French	    2	0
Finnish;Swedish;English;German;Russian	 5	TRUE	Finnish;Swedish;English;German;Russian	Finnish	    2	0
Latin;Swedish;Russian	 3	TRUE	Latin;Swedish;Russian	Latin	    2	0
Swedish;Finnish;German	 3	TRUE	Swedish;Finnish;German	Swedish	    2	0
Esperanto;Finnish	 2	TRUE	Esperanto;Finnish	Esperanto	    2	0
Finnish;English;Swedish	 3	TRUE	Finnish;English;Swedish	Finnish	    2	0
Finnish;French;Swedish	 3	TRUE	Finnish;French;Swedish	Finnish	    2	0
French;Russian	 2	TRUE	French;Russian	French	    2	0
Finnish;German;Sami	 3	TRUE	Finnish;German;Sami	Finnish	    1	0
French;Russian;Ukrainian;Polish;Czech;Slovak;Serbian;Icelandic;Swedish;German;Low German;Dutch;English;Spanish;Italian;Greek, Modern (1453-);Armenian;Finnish;Hungarian;Tatar;Hebrew	21	TRUE	French;Russian;Ukrainian;Polish;Czech;Slovak;Serbian;Icelandic;Swedish;German;Low German;Dutch;English;Spanish;Italian;Greek, Modern (1453-);Armenian;Finnish;Hungarian;Tatar;Hebrew	French	    1	0
German;French;English;Spanish	 4	TRUE	German;French;English;Spanish	German	    1	0
Latin;Syriac	 2	TRUE	Latin;Syriac	Latin	    1	0
Germanic (Other);Latin;English	 3	TRUE	Germanic (Other);Latin;English	Germanic (Other)	    1	0
Afroasiatic (Other);Finnish	 2	TRUE	Afroasiatic (Other);Finnish	Afroasiatic (Other)	    1	0
Tibetan	 1	FALSE	Tibetan	Tibetan	    1	0
English;Chinese	 2	TRUE	English;Chinese	English	    1	0
Finnish;Latin;Swedish	 3	TRUE	Finnish;Latin;Swedish	Finnish	    1	0
Finnish;Swedish;Estonian	 3	TRUE	Finnish;Swedish;Estonian	Finnish	    1	0
Swedish;Finnish;German;Russian	 4	TRUE	Swedish;Finnish;German;Russian	Swedish	    1	0
Finnish;Sami	 2	TRUE	Finnish;Sami	Finnish	    1	0
Swedish;Greek, Modern (1453-);Latin	 3	TRUE	Swedish;Greek, Modern (1453-);Latin	Swedish	    1	0
Karelian;Russian	 2	TRUE	Karelian;Russian	Karelian	    1	0
Russian;Finnish;Multiple languages	 3	TRUE	Russian;Finnish;Multiple languages	Russian	    1	0
Finnish;Swedish;German;Latin	 4	TRUE	Finnish;Swedish;German;Latin	Finnish	    1	0
Russian;Latin	 2	TRUE	Russian;Latin	Russian	    1	0
Ukrainian	 1	FALSE	Ukrainian	Ukrainian	    1	0
French;Lithuanian	 2	TRUE	French;Lithuanian	French	    1	0
Swedish;Finnish;English;Russian	 4	TRUE	Swedish;Finnish;English;Russian	Swedish	    1	0
Yiddish	 1	FALSE	Yiddish	Yiddish	    1	0
French;English	 2	TRUE	French;English	French	    1	0
Swedish;Finno-Ugrian (Other);Finnish	 3	TRUE	Swedish;Finno-Ugrian (Other);Finnish	Swedish	    1	0
Romanian	 1	FALSE	Romanian	Romanian	    1	0
Armenian	 1	FALSE	Armenian	Armenian	    1	0
Danish;Swedish;Norwegian	 3	TRUE	Danish;Swedish;Norwegian	Danish	    1	0
Finnish;Hebrew	 2	TRUE	Finnish;Hebrew	Finnish	    1	0
Russian;Greek, Ancient (to 1453)	 2	TRUE	Russian;Greek, Ancient (to 1453)	Russian	    1	0
Swedish;Votic	 2	TRUE	Swedish;Votic	Swedish	    1	0
Latin;Turkish	 2	TRUE	Latin;Turkish	Latin	    1	0
Swedish;Arabic;Persian;Turkish	 4	TRUE	Swedish;Arabic;Persian;Turkish	Swedish	    1	0
Latin;Greek, Ancient (to 1453);German	 3	TRUE	Latin;Greek, Ancient (to 1453);German	Latin	    1	0
Swedish;English;French;German	 4	TRUE	Swedish;English;French;German	Swedish	    1	0
Ukrainian;Russian	 2	TRUE	Ukrainian;Russian	Ukrainian	    1	0
English;German;French;Spanish	 4	TRUE	English;German;French;Spanish	English	    1	0
Norwegian;Swedish;Danish	 3	TRUE	Norwegian;Swedish;Danish	Norwegian	    1	0
Finnish;Swedish;Russian;German;English	 5	TRUE	Finnish;Swedish;Russian;German;English	Finnish	    1	0
Finnish;Russian;Multiple languages	 3	TRUE	Finnish;Russian;Multiple languages	Finnish	    1	0
Greek, Ancient (to 1453)	 1	FALSE	Greek, Ancient (to 1453)	Greek, Ancient (to 1453)	    1	0
Esperanto;Finnish;Swedish	 3	TRUE	Esperanto;Finnish;Swedish	Esperanto	    1	0
Swedish;English;German	 3	TRUE	Swedish;English;German	Swedish	    1	0
Finnish;Swedish;Estonian;German	 4	TRUE	Finnish;Swedish;Estonian;German	Finnish	    1	0
German;French;Russian	 3	TRUE	German;French;Russian	German	    1	0
English;French;German;Swedish	 4	TRUE	English;French;German;Swedish	English	    1	0
Finnish;English;Swedish;German	 4	TRUE	Finnish;English;Swedish;German	Finnish	    1	0
Finnish;Swedish;English;German;French;Russian	 6	TRUE	Finnish;Swedish;English;German;French;Russian	Finnish	    1	0
Finnish;Swedish;English;French;German	 5	TRUE	Finnish;Swedish;English;French;German	Finnish	    1	0
Finnish;German;English	 3	TRUE	Finnish;German;English	Finnish	    1	0
Finnish;English;German;Swedish;French	 5	TRUE	Finnish;English;German;Swedish;French	Finnish	    1	0
Finnish;English;German;French	 4	TRUE	Finnish;English;German;French	Finnish	    1	0
