Name	Count
Fontes iuris,	     2
Föreningen Logos i Österbotten,	     2
Gs islanti,	     2
Helsingfors stads idrottsverk, havsavdelningen,	     2
Helsingin korkeakoulu, rakennussuunnittelun laitos, arkkitehtiosasto,	     2
Helsingin yliopisto, kulttuurien tutkimuksen laitos, arkeologia,	     2
Helsinki University of Technology, Software Business and Engineering Institute,	     2
impress: apud Johannem Laurentii Wallium, Regiae Univ. ibidem typogr.,	     2
impressa à Joh. L. Wallio, A. t.,	     2
impressa â Joh. L. Wallio, Acad. typogr.,	     2
impressa à Joh. Winter, reg. typogr.,	     2
impressa â Johanne Wald, Reg. Universitatis ibidem typogr.,	     2
impressa â Petro Hansonio Acad. t.,	     2
impressa â Petro Wald, Acad. typ.,	     2
impressa âPetro Hansonio, Acad. typog.,	     2
impressa apud Joh. Laurentii Wallium Reg. Acad. typogr.,	     2
impressa apud Johannem L. Wallium, Regiae Univ. ibid. typogr.,	     2
impressa apud viduam Joh. Christoph. Frenckell,	     2
impressa apud viduam Reg. Acad. typogr. J. C. Frenckell.,	     2
impressa apud. Reg. Acad. typ. J. C. Frenckell,	     2
Industriidkarnes i Finland ömsesidiga brandförsäkringsbolag,	     2
Industriidkarnes i Finland ömsesidiga brandstodsförening,	     2
Interscience Publishers, a Division of John Wiley & Sons,	     2
Karis idrottsklubb,	     2
Länsi-Suomen ympäristökeskus, alueidenkäyttö- ja luonnonsuojeluosasto,	     2
Lantbrukarenas i Finland ömsesidiga olycksfallsförsäkringsförening,	     2
Latvijas valsts izbevniecība,	     2
Lions international,	     2
Metodistkyrkans i Finland svenska ungdomsförbund,	     2
Nordisk arbejdsmarkedsutvalg, NAUT-information,	     2
Nordisk etnologisk-folkloristisk arbetsgrupp,	     2
Odd Fellows i Finland,	     2
Österbottens idrottsdistrikt,	     2
Pargas idrottsförening,	     2
recusa â Johanne Winter, typ. reg.,	     2
Sold by William Berry at the Sign of the Globe between Charing-Cross and White-Hall,	     2
Statens informationsbyrå,	     2
Statens institut för byggnadsforskning,	     2
Strömbergs idrottsböcker,	     2
Svenska lantbrukssällskapens i Finland förbund.	     2
Svenska litteratursällskapets i Finland nämnd för samhällsforskning,	     2
Svenska lutherska evageliföreningens i Finland förlag,	     2
Svenska trädgårdssällskapens i Finland förbund,	     2
Telefonföreningarnas i Finland förbund,	     2
Textilindustrins i Finland arbetsgivareförbund,	     2
The Finnish association of architects SAFA,	     2
The Swedish Academy of Engineering Sciences in Finland,	     2
Tjänstemannaföreningarnas i Finland centralförbund,	     2
Työturvallisuuskeskus, autoalan työalatoimikunta,	     2
United States information service - Yhdysvaltain tiedotustoimisto,	     2
United States information service,	     2
University of Oulu, Department of Process and Environmental Engineering,	     2
University of Oulu, Mass and Heat Transfer Process Laboratory,	     2
University of Tampere, Department of Journalism and Mass Communication,	     2
Uusi autokeskus,	     2
Vasa arbetarinstitut,	     2
"Verein zur Hebung des Fremdenverkehrs in Lübeck",	     1
[Ålands idrottsdistrikt],	     1
[Arbetsgivarnas i Finland allmänna grupp],	     1
[Arbetsgivarnas i Finland centralförbund],	     1
[chez la veuve Olivier de Varennes, au Palais dans la Salle royale, au Vase d'or],	     1
[CIFU, Congressus internationalis Fenno-Ugristarum],	     1
[Diakonissanstaltens i Viborg],	     1
[Direktoratet for statens indkøb, distr.],	     1
[Direktoriatet for statens indkøb] :|Nordisk ministerråd.	     1
[Dövstummas idrottsförbund],	     1
[E. Lagus i distr.],	     1
[Ekenäs idrottsförening],	     1
[Esse andelsmejeri],	     1
[European Association for Quality Assurance in Higher Education, Central and Eastern European Network of Quality Assurance Agencies in Higher Education],	     1
[excus. apud viduam Hans. Acad. typogr.],	     1
[Finlands motorbåtsförbund] :|[Finlands seglarförbund] :|[Arbetarnas idrottsförbund, seglingssektionen],	     1
[Finska kyrkans inremissionssällskap],	     1
[Föreningsbankens i Finland],	     1
[Frihetskrigets invalidförbund],	     1
[Frivilliga brandkårens i Borgå],	     1
[Gosshemmets i Helsingfors],	     1
[Hammarlands idrottsklubb],	     1
[Handelsföreningens i Borgå telefon],	     1
[Helsingin yliopisto, Lahden tutkimus- ja koulutuskeskus, avoimen korkeakoulun osasto],	     1
