melinda_id	original	publication_year	Count
(FI-MELINDA)000676894	1981-1900	NA	1
(FI-MELINDA)000676891	1981-1900	NA	1
(FI-MELINDA)000676824	1982-1900	NA	1
(FI-MELINDA)000676794	1978-1900	NA	1
(FI-MELINDA)000676695	1982-1900	NA	1
(FI-MELINDA)000676651	1982-1900	NA	1
(FI-MELINDA)000676596	1980-1900	NA	1
(FI-MELINDA)000676594	1980-1900	NA	1
(FI-MELINDA)000676560	1982-1900	NA	1
(FI-MELINDA)000676435	1980-1900	NA	1
(FI-MELINDA)000676220	1980-1900	NA	1
(FI-MELINDA)000676216	1980-1900	NA	1
(FI-MELINDA)000674911	1929-1900	NA	1
(FI-MELINDA)003359529	1969-1960	NA	1
(FI-MELINDA)003348051	1879-1877	NA	1
(FI-MELINDA)000696337	75-uuuu	NA	1
(FI-MELINDA)006578911	uuuu-	NA	1
(FI-MELINDA)006578813	1949-1900	NA	1
(FI-MELINDA)006578812	1947-1900	NA	1
(FI-MELINDA)006577873	uuuu-9999	NA	1
(FI-MELINDA)006577852	uuuu-9999	NA	1
(FI-MELINDA)017595788	uuuu-||||	NA	1
(FI-MELINDA)017560595	2099-	NA	1
(FI-MELINDA)017560417	19uu-19uu	NA	1
(FI-MELINDA)017548533	2319-	NA	1
(FI-MELINDA)017547804	2099-	NA	1
(FI-MELINDA)000913099	94-uuuu	NA	1
(FI-MELINDA)006135651	1955-1900	NA	1
(FI-MELINDA)006135283	1980-1900	NA	1
(FI-MELINDA)006134919	1980-1900	NA	1
(FI-MELINDA)000794650	1944-1900	NA	1
(FI-MELINDA)005651808	1969-1900	NA	1
(FI-MELINDA)005651771	    -uuuu	NA	1
(FI-MELINDA)005651337	199u-9999	NA	1
(FI-MELINDA)005649872	200u-9999	NA	1
(FI-MELINDA)005645928	200u-9999	NA	1
(FI-MELINDA)005615616	200u-9999	NA	1
(FI-MELINDA)003021633	70-uuuu	NA	1
(FI-MELINDA)002981820	2002-2000	NA	1
(FI-MELINDA)002981388	34-uuuu	NA	1
(FI-MELINDA)012267756	199u-9999	NA	1
(FI-MELINDA)006826994	200u-9999	NA	1
(FI-MELINDA)005912928	19uu-19uu	NA	1
(FI-MELINDA)005912020	19uu-19uu	NA	1
(FI-MELINDA)005911702	19uu-19uu	NA	1
(FI-MELINDA)005911699	19uu-19uu	NA	1
(FI-MELINDA)005911198	19uu-19uu	NA	1
(FI-MELINDA)005911187	19uu-19uu	NA	1
(FI-MELINDA)005908173	19uu-19uu	NA	1
(FI-MELINDA)005907824	1916-1900	NA	1
(FI-MELINDA)005905920	1892-0000	NA	1
(FI-MELINDA)005905460	200u-9999	NA	1
(FI-MELINDA)005905152	1942-1900	NA	1
(FI-MELINDA)005905120	1919-1900	NA	1
(FI-MELINDA)005903511	1907-1900	NA	1
(FI-MELINDA)005902638	200u-9999	NA	1
(FI-MELINDA)005900139	1933-1900	NA	1
(FI-MELINDA)005900138	1933-1900	NA	1
(FI-MELINDA)005899794	1936-1900	NA	1
(FI-MELINDA)005899446	197u-9999	NA	1
(FI-MELINDA)005892045	1989-1900	NA	1
(FI-MELINDA)005890307	199u-9999	NA	1
(FI-MELINDA)005890282	uuuu-	NA	1
(FI-MELINDA)005890279	uuuu-	NA	1
(FI-MELINDA)005890217	1977-1900	NA	1
(FI-MELINDA)005889704	1971-1900	NA	1
(FI-MELINDA)005887849	1976-1900	NA	1
(FI-MELINDA)005887292	1974-1900	NA	1
(FI-MELINDA)005886739	1969-1900	NA	1
(FI-MELINDA)005886725	1994-1900	NA	1
(FI-MELINDA)005886694	1975-1900	NA	1
(FI-MELINDA)005864534	19uu-2uuu	NA	1
(FI-MELINDA)005859724	19uu-19uu	NA	1
(FI-MELINDA)005854757	    -    	NA	1
(FI-MELINDA)005851895	2005-2000	NA	1
(FI-MELINDA)005851673	2002-2000	NA	1
(FI-MELINDA)005851145	1915-1900	NA	1
(FI-MELINDA)011427014	2017-2016	NA	1
(FI-MELINDA)011323856	19uu-19uu	NA	1
(FI-MELINDA)000972266	uuuu-uuuu	NA	1
(FI-MELINDA)000971816	uuuu-uuuu	NA	1
(FI-MELINDA)000971803	uuuu-uuuu	NA	1
(FI-MELINDA)000971801	uuuu-uuuu	NA	1
(FI-MELINDA)000971769	uuuu-uuuu	NA	1
(FI-MELINDA)000971734	uuuu-uuuu	NA	1
(FI-MELINDA)000971708	uuuu-uuuu	NA	1
(FI-MELINDA)000971689	uuuu-uuuu	NA	1
(FI-MELINDA)000971684	uuuu-uuuu	NA	1
(FI-MELINDA)000971674	uuuu-uuuu	NA	1
(FI-MELINDA)000971647	uuuu-uuuu	NA	1
(FI-MELINDA)000971584	1977-1900	NA	1
(FI-MELINDA)000971404	uuuu-uuuu	NA	1
(FI-MELINDA)000967972	2001-2000	NA	1
(FI-MELINDA)000822172	1914-1900	NA	1
(FI-MELINDA)000822114	1967-1900	NA	1
(FI-MELINDA)000821960	1968-1900	NA	1
(FI-MELINDA)002318056	81-uuuu	NA	1
(FI-MELINDA)002261622	1980-1900	NA	1
(FI-MELINDA)002143024	1708-1707	NA	1
(FI-MELINDA)000814214	1912-1900	NA	1
(FI-MELINDA)005675381	9207-	NA	1
(FI-MELINDA)005674890	    -    	NA	1
(FI-MELINDA)005654393	2008-2000	NA	1
(FI-MELINDA)005652046	1886-1885	NA	1
(FI-MELINDA)012220148	2099-	NA	1
(FI-MELINDA)011856231	uuuu-uuuu	NA	1
(FI-MELINDA)002808502	1978-1900	NA	1
(FI-MELINDA)003332867	2001-2000	NA	1
(FI-MELINDA)006572704	uuuu-	NA	1
(FI-MELINDA)006572610	9209-	NA	1
(FI-MELINDA)006572609	9209-	NA	1
(FI-MELINDA)006572606	9207-	NA	1
(FI-MELINDA)006572603	9207-	NA	1
(FI-MELINDA)006572602	9207-	NA	1
(FI-MELINDA)006572601	9207-	NA	1
(FI-MELINDA)006572600	9207-	NA	1
(FI-MELINDA)006560523	    -    	NA	1
(FI-MELINDA)006532407	uuuu-	NA	1
(FI-MELINDA)005240321	2004-2000	NA	1
(FI-MELINDA)005220764	1966-1900	NA	1
(FI-MELINDA)000688442	90-uuuu	NA	1
(FI-MELINDA)000681058	1967-1900	NA	1
(FI-MELINDA)000681054	1943-1900	NA	1
(FI-MELINDA)000680771	1989-1900	NA	1
(FI-MELINDA)000680657	1981-1900	NA	1
(FI-MELINDA)000680429	1987-1900	NA	1
(FI-MELINDA)000680250	1988-1900	NA	1
(FI-MELINDA)000680011	1983-1900	NA	1
(FI-MELINDA)000679992	1980-1900	NA	1
(FI-MELINDA)000679640	1979-1900	NA	1
(FI-MELINDA)000679527	1987-1900	NA	1
(FI-MELINDA)000679494	1954-1900	NA	1
(FI-MELINDA)000679446	1988-1987	NA	1
(FI-MELINDA)000679425	1986-1900	NA	1
(FI-MELINDA)000679368	1979-1900	NA	1
(FI-MELINDA)000679360	1983-1900	NA	1
(FI-MELINDA)000808962	1977-0000	NA	1
(FI-MELINDA)000807763	1995-1900	NA	1
(FI-MELINDA)000807402	1986-1900	NA	1
(FI-MELINDA)000807250	1988-1900	NA	1
(FI-MELINDA)000807123	19uu-9999	NA	1
(FI-MELINDA)002405868	1970-1900	NA	1
(FI-MELINDA)000884073	70-uuuu	NA	1
(FI-MELINDA)000879978	1906-1900	NA	1
(FI-MELINDA)000879031	1997-1996	NA	1
(FI-MELINDA)003248528	1993-1990	NA	1
(FI-MELINDA)003244788	198u-9999	NA	1
(FI-MELINDA)003234788	1966-1900	NA	1
(FI-MELINDA)006602505	1906-1901	NA	1
(FI-MELINDA)006602302	1906-1901	NA	1
(FI-MELINDA)000834400	1926-1925	NA	1
(FI-MELINDA)000833583	1924-1900	NA	1
(FI-MELINDA)000746843	1988-1900	NA	1
(FI-MELINDA)018264501	197u-199u	NA	1
(FI-MELINDA)018261929	2099-	NA	1
(FI-MELINDA)018259606	2099-	NA	1
(FI-MELINDA)018259604	2099-	NA	1
(FI-MELINDA)000761190	198u-9999	NA	1
(FI-MELINDA)000776829	79-uuuu	NA	1
(FI-MELINDA)000772266	94-uuuu	NA	1
(FI-MELINDA)000772078	1980-1900	NA	1
(FI-MELINDA)000770018	1993-1900	NA	1
(FI-MELINDA)000768440	1985-0000	NA	1
(FI-MELINDA)009225840	-	NA	1
(FI-MELINDA)007344266	1983-1900	NA	1
(FI-MELINDA)004430216	1974-1900	NA	1
(FI-MELINDA)004413862	79-uuuu	NA	1
(FI-MELINDA)004086542	196?-9999	NA	1
(FI-MELINDA)000982198	2008-2000	NA	1
(FI-MELINDA)000979800	2008-2000	NA	1
(FI-MELINDA)000973392	2006-2000	NA	1
(FI-MELINDA)018686710	2003-1988	NA	1
(FI-MELINDA)018686704	2003-1988	NA	1
(FI-MELINDA)018677600	2099-	NA	1
(FI-MELINDA)018641746	2099-	NA	1
(FI-MELINDA)018641694	2099-	NA	1
(FI-MELINDA)005773065	2008-2000	NA	1
(FI-MELINDA)005772850	2001-2000	NA	1
(FI-MELINDA)005763672	199u-9999	NA	1
(FI-MELINDA)005752652	200u-9999	NA	1
(FI-MELINDA)017536034	2099-	NA	1
(FI-MELINDA)017529926	2007-1985	NA	1
(FI-MELINDA)006458703	1994-1990	NA	1
(FI-MELINDA)018220551	2099-	NA	1
