melinda_id;original;cleaned;converted;udk_count
003721693;235|39|929 Tapani Pyhä;235;39;929;Undetermined;Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;3
003722121;82.08;82.08;Undetermined;1
003723123;372.880.1|372.880.10;372.880.1;372.880.10;Undetermined;Undetermined;2
003723147;;NA;NA;0
003724279;;NA;NA;0
003724947;377.8|894.541;377.8;894.541;Undetermined;Suomenkielinen kirjallisuus;2
003725006;371.13|894.541;371.13;894.541;Undetermined;Suomenkielinen kirjallisuus;2
003725136;;NA;NA;0
003726427;;NA;NA;0
003728089;37;37;Kasvatus. Opetus. Koulutus;1
003728218;801.5|809.545.1;801.5;809.545.1;Undetermined;Undetermined;2
003728449;061.3|373.3;061.3;373.3;Undetermined;Undetermined;2
003728705;;NA;NA;0
003728709;;NA;NA;0
003729837;;NA;NA;0
003730736;373|908 Hämeenlinna|929;373;908;929;Peruskoulu. Lukio ;Paikallishistoriat. Kotiseutu ;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;3
003734930;371|37;371;37;Kasvatuksen ja opetuksen organisaatio. Koulutoimi. Opetusmenetelmät ;Kasvatus. Opetus. Koulutus;2
003735024;37;37;Kasvatus. Opetus. Koulutus;1
003735121;37.018.1;37.018.1;Undetermined;1
003735125;372.41|372.45;372.41;372.45;Undetermined;Undetermined;2
003735330;;NA;NA;0
003737216;894.541 Erkko|894.541|894.541|894.541.09 Erkko|929 Erkko|929 Erkko, J. H.;894.541;894.541.09;929;929,..;Suomenkielinen kirjallisuus;Undetermined;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Undetermined;4
003738121;92 Soldan|929 Soldan|929 Soldan, August Fredrik;92;929;929,;Henkilöhistorialliset tutkimukset. Sukututkimus. Heraldiikka. Liput;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Undetermined;3
