Name	Count	Percentage
Finno-Ugrian (Other);Russian	     8	 0.00
Hebrew;Finnish	     8	 0.00
Japanese;English	     8	 0.00
Latin;Dutch	     8	 0.00
Latin;German;Swedish	     8	 0.00
Latin;Swedish;German	     8	 0.00
Russian;French	     8	 0.00
Sami;Swedish	     8	 0.00
Swedish;English;Danish	     8	 0.00
Swedish;Greek, Ancient (to 1453)	     8	 0.00
Ukrainian;Finnish	     8	 0.00
Danish;Norwegian	     7	 0.00
English;Finnish;Multiple languages	     7	 0.00
English;Greek, Ancient (to 1453)	     7	 0.00
English;Multiple languages;Finnish	     7	 0.00
Finnish;Croatian	     7	 0.00
Finnish;English;French;German	     7	 0.00
Finnish;German;Russian	     7	 0.00
Finnish;Russian;Latin	     7	 0.00
Finnish;Sami;English	     7	 0.00
Finnish;Swedish;Danish;Norwegian;English	     7	 0.00
Finnish;Swedish;Esperanto	     7	 0.00
French;Latin	     7	 0.00
Galician	     7	 0.00
Hungarian;English	     7	 0.00
Latin;Finnish;Swedish	     7	 0.00
Latin;Greek, Ancient (to 1453);German	     7	 0.00
Latin;Hebrew;Greek, Ancient (to 1453)	     7	 0.00
Latin;Spanish	     7	 0.00
Latvian;Finnish	     7	 0.00
Northern Sami;Sami	     7	 0.00
Norwegian (Bokmål)	     7	 0.00
Romani	     7	 0.00
Russian;Latin	     7	 0.00
Swedish;English;Danish;Norwegian	     7	 0.00
Swedish;Finnish;German	     7	 0.00
Swedish;Finnish;Russian	     7	 0.00
Swedish;Multiple languages	     7	 0.00
Thai;Finnish	     7	 0.00
Danish;Finnish	     6	 0.00
Danish;Norwegian;Swedish;English	     6	 0.00
English;Multiple languages	     6	 0.00
English;Swahili	     6	 0.00
Erzya	     6	 0.00
Finnish;Bulgarian	     6	 0.00
Finnish;French;Swedish	     6	 0.00
Finnish;Inari Sami	     6	 0.00
Finnish;Karelian;Russian	     6	 0.00
Finnish;Sami;Skolt Sami	     6	 0.00
Finnish;Swedish;English;German;French;Spanish;Russian;Estonian	     6	 0.00
Finnish;Swedish;Estonian	     6	 0.00
Finnish;Swedish;Italian	     6	 0.00
Finnish;Swedish;Norwegian;English;German	     6	 0.00
Finno-Ugrian (Other);Finnish	     6	 0.00
French;English;Finnish	     6	 0.00
French;Russian	     6	 0.00
French;Spanish	     6	 0.00
German;French;Russian	     6	 0.00
Germanic (Other)	     6	 0.00
Latin;Finnish;English	     6	 0.00
Latin;Hebrew;Swedish	     6	 0.00
Lule Sami	     6	 0.00
Norwegian;Danish	     6	 0.00
Spanish;English	     6	 0.00
Swedish;Estonian	     6	 0.00
Swedish;Norwegian;Danish;English	     6	 0.00
Swedish;Persian;Latin	     6	 0.00
Welsh	     6	 0.00
Czech;Finnish	     5	 0.00
Dutch;Finnish	     5	 0.00
English;Finnish;German	     5	 0.00
English;Greek, Modern (1453-)	     5	 0.00
English;Polish	     5	 0.00
English;Sami	     5	 0.00
English;Thai	     5	 0.00
Estonian;Russian	     5	 0.00
Finnish;Aramaic	     5	 0.00
Finnish;English;Arabic	     5	 0.00
Finnish;English;French;Russian	     5	 0.00
Finnish;English;German;French;Spanish	     5	 0.00
Finnish;English;Russian;German;French;Serbian	     5	 0.00
Finnish;Estonian;Russian	     5	 0.00
Finnish;Hebrew;Aramaic	     5	 0.00
Finnish;Norwegian;English;Russian	     5	 0.00
Finnish;Russian;Swedish	     5	 0.00
Finnish;Slovak	     5	 0.00
Finnish;Swedish;English;Italian	     5	 0.00
Finnish;Swedish;Spanish	     5	 0.00
Finnish;Udmurt	     5	 0.00
French;Dutch	     5	 0.00
French;English;German	     5	 0.00
German;English;Finnish	     5	 0.00
German;Finnish;Swedish	     5	 0.00
German;Russian	     5	 0.00
German;Sumerian	     5	 0.00
Indonesian	     5	 0.00
Latin;Italian	     5	 0.00
Norwegian;Sami;English	     5	 0.00
Romanian;English	     5	 0.00
Russian;Finnish;Swedish	     5	 0.00
Sami;Inari Sami;English	     5	 0.00
Swahili;Finnish	     5	 0.00
Swedish;English;French	     5	 0.00
Swedish;Spanish	     5	 0.00
Vietnamese;Finnish	     5	 0.00
Basque	     4	 0.00
Bosnian	     4	 0.00
Bulgarian;Finnish	     4	 0.00
