melinda_id	id2	field008_6	publication_status	original	publication_year
019447705	FCC019447705	r	Reprint/reissue date and original date	????	NA
019463280	FCC019463280	r	Reprint/reissue date and original date	????	NA
019472347	FCC019472347	r	Reprint/reissue date and original date	????	NA
019472376	FCC019472376	r	Reprint/reissue date and original date	????	NA
019482980	FCC019482980	r	Reprint/reissue date and original date	????	NA
019500458	FCC019500458	r	Reprint/reissue date and original date	uuuu	NA
1003821	1003821|FCC006124608	c	Continuing resource currently published	200u 9999	NA
1005443	1005443|FCC006096383	u	Continuing resource status unknown	199u	NA
1005513	1005513|FCC006131926	c	Continuing resource currently published	20uu 9999	NA
1006112	1006112|FCC006116193	c	Continuing resource currently published	200u 9999	NA
1006534	1006534|FCC006531713	u	Continuing resource status unknown	19uu	NA
1006878	1006878|FCC006096314	d	Continuing resource ceased publication	20uu 2012	NA
1009475	1009475|FCC006121482	c	Continuing resource currently published	20uu 9999	NA
1009718	1009718|FCC006122572	c	Continuing resource currently published	199u 9999	NA
1010684	1010684|FCC006162286	s	Single known date/probable date	    	NA
1011061	1011061|FCC006130230	d	Continuing resource ceased publication	197u 198u	NA
1011068	1011068|FCC006130233	d	Continuing resource ceased publication	198u 198u	NA
1011122	1011122|FCC006130477	d	Continuing resource ceased publication	198u 198u	NA
1011320	1011320|FCC006560523	q	Questionable date	    	NA
1011325	1011325|FCC006132145	u	Continuing resource status unknown	19uu	NA
1011375	1011375|FCC006132172	c	Continuing resource currently published	20uu 9999	NA
1011605	1011605|FCC006133446	d	Continuing resource ceased publication	198u 198u	NA
1011719	1011719|FCC006133754	d	Continuing resource ceased publication	198u 198u	NA
1011721	1011721|FCC006133755	d	Continuing resource ceased publication	197u 197u	NA
1011737	1011737|FCC006133762	d	Continuing resource ceased publication	198u 1982	NA
1011755	1011755|FCC006133782	d	Continuing resource ceased publication	197u 198u	NA
1011931	1011931|FCC006134902	d	Continuing resource ceased publication	198u 198u	NA
1011959	1011959|FCC006134919	d	Continuing resource ceased publication	198u 198u	NA
1012010	1012010|FCC006134934	d	Continuing resource ceased publication	198u 198u	NA
1012060	1012060|FCC006135276	d	Continuing resource ceased publication	19uu 1981	NA
1012078	1012078|FCC006135283	d	Continuing resource ceased publication	198u 198u	NA
1012184	1012184|FCC006135651	d	Continuing resource ceased publication	19uu 19uu	NA
