melinda_id publication_year n
(FI-MELINDA)000697989 1916 1
(FI-MELINDA)000697992 1910 1
(FI-MELINDA)000697993 1912 1
(FI-MELINDA)000697995 1915 1
(FI-MELINDA)000697997 1887 1
(FI-MELINDA)000697998 1891 1
(FI-MELINDA)000697999 1899 1
(FI-MELINDA)000698001 1912 1
(FI-MELINDA)000698005 1899 1
(FI-MELINDA)000698007 1907 1
(FI-MELINDA)000698014 1913 1
(FI-MELINDA)000698020 1912 1
(FI-MELINDA)000698024 1894 1
(FI-MELINDA)000698025 1908 1
(FI-MELINDA)000698028 1907 1
(FI-MELINDA)000698030 1905 1
(FI-MELINDA)000698031 1884 1
(FI-MELINDA)000698032 1893 1
(FI-MELINDA)000698035 1906 1
(FI-MELINDA)000698040 1889 1
(FI-MELINDA)000698043 1916 1
(FI-MELINDA)000698046 1912 1
(FI-MELINDA)000698052 1901 1
(FI-MELINDA)000698058 1885 1
(FI-MELINDA)000698059 1880 1
(FI-MELINDA)000698060 1881 1
(FI-MELINDA)000698061 1906 1
(FI-MELINDA)000698063 1882 1
(FI-MELINDA)000698067 1851 1
(FI-MELINDA)000698069 1913 1
(FI-MELINDA)000698071 1911 1
(FI-MELINDA)000698084 1907 1
(FI-MELINDA)000698087 1914 1
(FI-MELINDA)000698090 1911 1
(FI-MELINDA)000698102 1917 1
(FI-MELINDA)000698106 1872 1
(FI-MELINDA)000698115 1879 1
(FI-MELINDA)000698117 1914 1
(FI-MELINDA)000698118 1895 1
(FI-MELINDA)000698131 1895 1
(FI-MELINDA)000698157 1881 1
(FI-MELINDA)000698158 1909 1
(FI-MELINDA)000698159 1881 1
(FI-MELINDA)000698164 1904 1
(FI-MELINDA)000698174 1855 1
(FI-MELINDA)000698175 1909 1
(FI-MELINDA)000698176 1906 1
(FI-MELINDA)000698192 1912 1
(FI-MELINDA)000698204 1899 1
(FI-MELINDA)000698205 1877 1
(FI-MELINDA)000698217 1856 1
(FI-MELINDA)000698223 1892 1
(FI-MELINDA)000698227 1907 1
(FI-MELINDA)000698230 1887 1
(FI-MELINDA)000698232 1883 1
(FI-MELINDA)000698241 1908 1
(FI-MELINDA)000698252 1901 1
(FI-MELINDA)000698255 1882 1
(FI-MELINDA)000698259 1913 1
(FI-MELINDA)000698269 1860 1
(FI-MELINDA)000698278 1912 1
(FI-MELINDA)000698279 1862 1
(FI-MELINDA)000698287 1912 1
(FI-MELINDA)000698289 1896 1
(FI-MELINDA)000698293 1884 1
(FI-MELINDA)000698301 1877 1
(FI-MELINDA)000698302 1915 1
(FI-MELINDA)000698306 1909 1
(FI-MELINDA)000698310 1912 1
(FI-MELINDA)000698311 1911 1
(FI-MELINDA)000698316 1891 1
(FI-MELINDA)000698325 1912 1
(FI-MELINDA)000698329 1884 1
(FI-MELINDA)000698336 1909 1
(FI-MELINDA)000698339 1909 1
(FI-MELINDA)000698342 1913 1
(FI-MELINDA)000700246 1915 1
(FI-MELINDA)000700253 1907 1
(FI-MELINDA)000700256 1895 1
(FI-MELINDA)000700258 1913 1
(FI-MELINDA)000700264 1907 1
(FI-MELINDA)000700274 1851 1
(FI-MELINDA)000700277 1908 1
(FI-MELINDA)000700279 1915 1
(FI-MELINDA)000700282 1891 1
(FI-MELINDA)000700289 1872 1
(FI-MELINDA)000700290 1893 1
(FI-MELINDA)000700291 1911 1
(FI-MELINDA)000700292 1913 1
(FI-MELINDA)000700293 1916 1
(FI-MELINDA)000700294 1913 1
(FI-MELINDA)000700299 1897 1
(FI-MELINDA)000700300 1906 1
(FI-MELINDA)000700301 1888 1
(FI-MELINDA)000700302 1903 1
(FI-MELINDA)000700304 1909 1
(FI-MELINDA)000700305 1908 1
(FI-MELINDA)000700307 1880 1
(FI-MELINDA)000700325 1911 1
(FI-MELINDA)000700327 1914 1
(FI-MELINDA)000700333 1907 1
(FI-MELINDA)000700334 1911 1
(FI-MELINDA)000700341 1896 1
(FI-MELINDA)000700352 1906 1
(FI-MELINDA)000700354 1917 1
(FI-MELINDA)000700361 1895 1
(FI-MELINDA)000700380 1908 1
(FI-MELINDA)000700384 1913 1
(FI-MELINDA)000700389 1883 1
(FI-MELINDA)000700398 1853 1
(FI-MELINDA)000700404 1913 1
(FI-MELINDA)000700408 1889 1
(FI-MELINDA)000700413 1893 1
(FI-MELINDA)000700414 1896 1
(FI-MELINDA)000700415 1882 1
(FI-MELINDA)000700417 1827 1
(FI-MELINDA)000700418 1836 1
(FI-MELINDA)000700420 1897 1
