,0
805,787g
806,045a
807,516a
808,052a
809,052b
810,1009
811,2649
812,880e
813,648y
814,520d
815,526b
816,060ind1
817,740n
818,740p
819,247ind1
820,247ind2
821,247a
822,247b
823,547a
824,0209
825,610v
826,500x
827,546b
828,630o
829,490n
830,490p
831,5015
832,754c
833,754a
834,7542
835,7540
836,910t
837,775e
838,5635
839,017a
840,506f
841,5062
842,540a
843,540b
844,540c
845,540u
846,5405
847,5409
848,720e
849,6532
850,3009
851,5639
852,500s
853,611x
854,611y
855,940g
856,650b
857,100l
858,5305
859,776u
860,932a
861,933a
862,530d
863,856m
864,775b
865,775w
866,5019
867,264e
868,031t
869,5886
870,852ind1
871,852h
872,852i
873,852z
874,630v
875,0319
876,2400
877,382e
878,382t
879,3368
880,3378
881,080b
882,366a
883,680i
884,530f
885,490g
886,0242
887,880f
888,880g
889,3859
890,5208
891,657ind2
892,657a
893,6572
894,6570
895,910d
896,910c
897,700g
898,785d
899,490h
900,SIDa
901,3828
902,340m
903,5619
904,775k
905,044a
906,765a
907,8566
908,502e
909,7107
910,046ind1
911,046k
912,0462
913,776g
914,7300
915,772b
916,767b
917,653d
918,6501
919,6511
920,1300
921,5839
922,650e
923,630g
924,911e
925,072l
926,600p
927,542ind1
928,542f
929,242ind1
930,242ind2
931,242a
932,3109
933,773w
934,773t
935,7735
936,260ind2
937,630y
938,9JYind1
939,9JYind2
940,9JY9
941,3003
942,1110
943,599x
944,240g
945,036a
946,0365
947,940s
948,570a
949,046l
950,700n
951,515q
952,6538
953,655b
954,082q
955,810ind2
956,830f
957,710l
958,710f
959,5003
960,029c
961,080-
962,100t
963,760a
964,039b
965,039d
966,039e
967,039f
968,039g
969,5795
970,780b
971,770ind2
972,770i
973,770a
974,770b
975,770d
976,770z
977,500ind1
978,762d
979,780a
980,780n
981,767a
982,762o
983,7876
984,785n
985,7857
986,772w
987,555c
988,780y
989,772a
990,678ind1
991,678a
992,730h
993,730f
994,0889
995,046o
996,765d
997,777d
998,765ind2
999,765i
1000,780i
1001,245f
1002,256a
1003,7676
1004,787b
1005,344g
1006,5506
1007,772d
1008,506e
1009,767d
1010,611z
1011,762a
1012,041j
1013,785y
1014,562a
1015,610n
1016,901y
1017,9109
1018,7306
1019,940k
1020,034c
1021,9006
1022,9106
1023,710g
1024,610u
1025,300g
1026,510b
1027,9352
1028,653x
1029,800e
1030,767k
1031,767z
1032,344c
1033,930ind1
1034,930l
1035,9305
1036,534m
1037,8305
1038,700p
1039,242b
1040,730n
1041,594e
1042,880i
1043,880d
1044,8800
1045,6516
1046,880y
1047,770g
1048,347a
1049,347b
1050,852c
1051,7008
1052,2509
1053,382v
1054,772i
1055,7856
1056,7002
1057,7102
1058,776b
1059,7806
1060,760o
1061,247f
1062,500b
1063,500y
1064,777b
1065,501c
1066,5016
1067,777n
1068,777y
1069,130g
1070,880k
1071,3889
1072,752n
1073,775o
1074,9409
1075,752f
1076,752b
1077,5343
1078,653p
1079,072x
1080,740t
1081,2401
1082,752e
1083,5949
1084,0318
1085,031g
1086,031p
1087,0312
1088,7308
1089,9049
1090,020c
1091,5046
1092,242y
1093,046p
1094,240m
1095,752c
1096,774n
1097,240d
1098,490X
1099,611e
1100,520u
1101,9019
1102,5155
1103,653z
1104,033ind2
1105,518o
1106,518d
1107,0289
1108,911g
1109,772z
1110,7727
1111,521ind1
1112,3363
1113,3373
1114,3383
1115,111j
1116,015z
1117,5383
1118,264 
1119,240V
