Column1;Column2
Turkinkielinen kirjallisuus;Finnish
Turvallisuusmääräykset;Finnish
Tutkimusluettelot;Finnish
Tutkimusraportit;Finnish
Tv-filmer;
Tv-musik;
Tv-program;
Tv-serier;
Tv-serier för ungdomar;
Tv-skådespel;
Tvåloperor;
Tvåpersonersspel;
Tvåspråkiga verk;
Twin Study;English
Tygböcker;
Typkataloger;
Tyrosinaasit;Finnish
Tysk litteratur;
Tyttökirjat;Finnish
Tyttösarjakuvat;Finnish
Tyyppiluettelot;Finnish
Työelämä;Finnish
Työlaulut;Finnish
Työläiskirjallisuus;Finnish
Työntekijät;Finnish
Työväenlaulut;Finnish
Työväenlehdet;Finnish
Työväenmusiikki;Finnish
Tähtikartat;Finnish
Tärningsspel;
Täytettävät vauvakirjat;Finnish
Udmurtinkielinen kirjallisuus;Finnish
Ukrainankielinen kirjallisuus;Finnish
Ukrainsk litteratur;
Ukulele;English
Underberättelser;
Undergroundsarjakuvat;Finnish
Undergroundserier;
Undergroundserier (tecknade serier);
Underhållningslitteratur;
Underhållningsmusik;
Undersagor;
Undervisningsfilmer;
Undervisningsmaterial;
Undervisningsserier (tecknade serier);
Ungdomsfilmer;
Ungdomslitteratur;
Ungdomspjäser;
Ungdomsserier (programserier);
Ungdomstidningar;
Ungersk litteratur;
Unikirjat;Finnish
Unkarin kieli;Finnish
Unkarinkielinen kirjallisuus;Finnish
Uppslagsverk;
Urbaani fantasia;Finnish
Urban fantasy;English
Urheilu;Finnish
Urheilukirjallisuus;Finnish
Urheilulehdet;Finnish
Urheilupelit;Finnish
Urheiluromaanit;Finnish
Ursprungsmyter;
Urval (objekt);
Urvalsguider;
Urvalsprovuppgifter;
Uskomustarinat;Finnish
Uskonnollinen kirjallisuus;Finnish
Uskonnollinen musiikki;Finnish
Uskonnolliset elokuvat;Finnish
Uskonnolliset kuvakirjat;Finnish
Uskonnolliset laulut;Finnish
Uskonnolliset lehdet;Finnish
Uskonnolliset näytelmät;Finnish
Uskonnolliset runot;Finnish
Uskonnolliset sarjakuvat;Finnish
Utdrag;
Utflyktsguider;
Utlåtanden;
Utopiat;Finnish
Utopier;
Utställningskataloger;
Utvecklingsberättelser;
Utvecklingsromaner;
Uudelleensanoitetut laulut;Finnish
Uusi romaani;Finnish
Uuskumma;Finnish
Vaellusromaanit;Finnish
Vaggvisor;
Vaihtoehtohistoria;Finnish
Vaihtoehtohistoriat;Finnish
Vakoilukirjallisuus;Finnish
Validation Studies;English
Valikoimat;Finnish
Valintaoppaat;Finnish
Valituslaulut;Finnish
Valokuvaromaanit;Finnish
Valokuvasarjakuvat;Finnish
Valokuvat;Finnish
Valokuvauslehdet;Finnish
Valser;
Valssit;Finnish
Vandringsromaner;
Vanhempainoppaat;Finnish
Vapaa säestys;Finnish
Vapautuneet vangit;Finnish
Vappulehdet;Finnish
Varhaisnuorten kirjat;Finnish
Varietéer;
Varieteet;Finnish
Vauvakirjat;Finnish
Vauvalehdet;Finnish
Veckopresserier;
Vehnä;Finnish
Veijariromaanit;Finnish
Veijariromaanit2slm/fin;Finnish
Veijaritarinat;Finnish
Venelehdet;Finnish
Venäjän kieli;Finnish
Venäjänkielinen kirjallisuus;Finnish
Venäläinen kirjallisuus;Finnish
Vepsänkielinen kirjallisuus;Finnish
Verk med vulgärt språk;
Verkförteckningar;
Verkkojulkaisut;Finnish
Verkkokirja;Finnish
Verkkolehti;Finnish
Verkkopelit;Finnish
Verkkosivustot;Finnish
Verklighetsbaserade verk;
Verksamhetsberättelser;
Verksamhetsprogram;
Versalböcker;
Versdramer;
Verser;
Versromaner;
Vesperit;Finnish
Vesprar;
Vetenskapliga tidskrifter;
Videopelit;Finnish
Videospel;
Viidakkosarjakuvat;Finnish
Viihdekirjallisuus;Finnish
Viihdelukemistot;Finnish
Viihdemusiikki;Finnish
Viihdeohjelmat;Finnish
Viihderomaanit;Finnish
Viihekirjallisuus;Finnish
Viitetietokannat;Finnish
Viittomalaulut;Finnish
Vildmarksberättelser;
Viljateknologia;Finnish
Virallisjulkaisut;Finnish
Vironkielinen kirjallisuus;Finnish
Virret;Finnish
Virsikirjat;Finnish
Visailukysymykset;Finnish
Visor;
Visuaalinen runous;Finnish
Visual poetry;English
Visuell poesi;
Vitsar;
Vitsit;Finnish
Vittnessägner;
Vokaliisit (harjoitteet);Finnish
Vokaliser (övningsmaterial);
Vokalmusik;
Võrunkielinen kirjallisuus;Finnish
Vuosikirjat;Finnish
Vårdrekommendationer;
Väestökirjat;Finnish
Vägkartor;
Väitöskirja;Finnish
Väitöskirjat;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 1967;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 1982;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 1996;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 2001;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 2012;Finnish
Väitöskirjat: humanistiset tieteet: Turku: 2015;Finnish
Väitöskirjat: kasvatustiede: Joensuu: 2002;Finnish
Väitöskirjat: lääketiede: Helsinki: 2010;Finnish
Väitöskirjat: mat-luonnontieteet: Turku: 2012;Finnish
Väitöskirjat: oikeustiede: Helsinki: 2012;Finnish
Väitöskirjat: oikeustiede: Rovaniemi: 2012;Finnish
Väitöskirjat: oikeustiede: Turku: 1995;Finnish
Väitöskirjat: oikeustiede: Turku: 2001;Finnish
Väitöskirjat: oikeustiede: Turku: 2012;Finnish
Väitöskirjat: TY: HUM: kansatiede;Finnish
Väitöskirjat: TY: HUM: kotimainen kirjallisuus;Finnish
Väitöskirjat: TY: HUM: kulttuurihistoria;Finnish
Väitöskirjat: TY: HUM: mediatutkimus;Finnish
Väitöskirjat: TY: HUM: suomalais-ugrilainen kielentutkimus;Finnish
Väitöskirjat: TY: HUM: suomen historia;Finnish
Väitöskirjat: TY: HUM: uskontotiede;Finnish
Väitöskirjat: TY: LÄÄK: hoitotiede;Finnish
Väitöskirjat: TY: LÄÄK: kliininen fysiologia;Finnish
Väitöskirjat: TY: LÄÄK: lastentautioppi;Finnish
Väitöskirjat: TY: LÄÄK: PET-keskus;Finnish
Väitöskirjat: TY: LÄÄK: radiologia;Finnish
Väitöskirjat: TY: LÄÄK: sisätautioppi;Finnish
Väitöskirjat: TY: LÄÄK: sydäntutkimuskeskus;Finnish
Väitöskirjat: TY: ML: tietojenkäsittelytiede;Finnish
Väitöskirjat: TY: ML: tähtitiede;Finnish
Väitöskirjat: TY: YHT: sosiaalipolitiikka;Finnish
Väitöskirjat: yhteiskuntatieteet: Turku: 2011;Finnish
Vändbara böcker;
Värisarjakuvat;Finnish
Värityskirjat;Finnish
Världsmusik;
Värssyt;Finnish
Västernfilmer;
Västernserier (tecknade serier);
Västernskildringar;
Wit and Humor;English
WWW-sivut;Finnish
Ydinaseet;Finnish
Yhdenpäivänromaanit;Finnish
Yhteiskunnalliset näytelmät;Finnish
Yhteiskunnalliset romaanit;Finnish
Yhteiskunnalliset runot;Finnish
Yhteiskunnalliset sarjakuvat;Finnish
Yhteiskuntakuvaus;Finnish
Yhteismusisointi;Finnish
Yhteistyöpelit;Finnish
Yksinlaulut;Finnish
Yksinpelit;Finnish
Yleisaikakauslehdet;Finnish
Yliluonnolliset olennot;Finnish
Ympäristönsuojelu;Finnish
Yrityshistoriikit;Finnish
Årsböcker;
Äktenskapsromaner;
Älykkyyspelit;Finnish
Ämnesbibliografier;
Ämnesordsregister;
Äventyrslitteratur;
Äventyrsromaner;
Äventyrsserier (tecknade serier);
Äventyrsspel;
Äänikirjat;Finnish
Äänilehdet;Finnish
Äänitehostekirjat;Finnish
Ögonblicksbilder;
Österbotten;
Överlevnadsspel;
Översikter;
Översättningar;
Övningsböcker;
Övningsmaterial;
Övningsmaterial för musik;
